model,horizon_step,forecast_count,mae,rmse,mape,r2,price_mae,price_rmse,price_mape,price_r2,run_id,market,feature_set,seed,artifact_dir,persistence_price_rmse,price_rmse_ratio_to_persistence
lstm_gru,20,49,0.0856705444792163,0.1041904126659739,181.2580495953432,-0.451188079275203,696.8841291609746,838.5225019402552,8.252299552897115,0.9185765438976028,bist100__lstm_gru__indicators__seed1,bist100,indicators,1,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__lstm_gru__indicators__seed1/artifacts/20260716_233234_673133,753.477052018749,1.1128706570341442
mlp,20,49,0.1851874328507452,0.2296927991000278,1078.7494412920337,-6.052822376580116,1661.329471276162,2247.809914372093,17.96618147471011,0.4148876641698551,bist100__mlp__indicators__seed1,bist100,indicators,1,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__mlp__indicators__seed1/artifacts/20260716_230937_959666,753.477052018749,2.9832493349992033
naive_persistence,20,49,0.0746143729549509,0.0933163829095019,100.0,-0.1640830858481394,590.4101263552296,753.477052018749,7.219622622360065,0.9342553906157848,bist100__naive_persistence__indicators__seed1,bist100,indicators,1,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__naive_persistence__indicators__seed1/artifacts/20260716_223849_788580,753.477052018749,1.0
cnn1d,20,49,0.1988109000144838,0.2506795074646747,1000.4762350352286,-7.400513835101133,1783.9527594683236,2604.76019370266,18.88589716427472,0.2143021184756994,bist100__cnn1d__indicators__seed7,bist100,indicators,7,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__cnn1d__indicators__seed7/artifacts/20260716_225231_241962,753.477052018749,3.4569867612077525
dnfs,20,49,0.078232453914229,0.0957434484219676,131.15829526870152,-0.2254238174194891,623.0800255483573,770.4287389760672,7.569760514955673,0.931263875974622,bist100__dnfs__indicators__seed7,bist100,indicators,7,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__dnfs__indicators__seed7/artifacts/20260717_000555_251349,753.477052018749,1.0224979472326337
linear_regression,20,49,0.285862650964096,0.3512031433750188,1439.271075741427,-15.488645259481189,2280.3062287971657,2937.8520485048134,26.24289990144021,0.000506599167906,bist100__linear_regression__indicators__seed7,bist100,indicators,7,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__linear_regression__indicators__seed7/artifacts/20260716_224002_492763,753.477052018749,3.8990597532248534
lstm_gru,20,49,0.0864292334381916,0.1047347691192809,176.11722571883527,-0.466391536287621,713.577317033796,865.366063189807,8.369849627645596,0.913279892266357,bist100__lstm_gru__indicators__seed7,bist100,indicators,7,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__lstm_gru__indicators__seed7/artifacts/20260716_233507_996991,753.477052018749,1.1484969062711068
mlp,20,49,0.2192143054126353,0.2516498928446494,1101.4592480964136,-7.465676828746085,2014.9185190226483,2612.0974516135484,21.33234888143528,0.2098694743971531,bist100__mlp__indicators__seed7,bist100,indicators,7,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__mlp__indicators__seed7/artifacts/20260716_231114_575739,753.477052018749,3.46672462633746
naive_persistence,20,49,0.0746143729549509,0.0933163829095019,100.0,-0.1640830858481394,590.4101263552296,753.477052018749,7.219622622360065,0.9342553906157848,bist100__naive_persistence__indicators__seed7,bist100,indicators,7,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__naive_persistence__indicators__seed7/artifacts/20260716_223857_048165,753.477052018749,1.0
cnn1d,20,49,0.2022687292351059,0.2395505655819291,1041.2494758959451,-6.671187308322415,1784.4620976002518,2387.7405994698324,19.131123859121256,0.339771333006679,bist100__cnn1d__indicators__seed42,bist100,indicators,42,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__cnn1d__indicators__seed42/artifacts/20260716_225422_649275,753.477052018749,3.168962602208644
dnfs,20,49,0.0807067905504137,0.0962760954270602,165.3720407545535,-0.2390964804046429,662.0929300481956,801.8246859533235,7.835282198875401,0.9255475600114248,bist100__dnfs__indicators__seed42,bist100,indicators,42,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__dnfs__indicators__seed42/artifacts/20260717_000916_047271,753.477052018749,1.064166033729945
linear_regression,20,49,0.285862650964096,0.3512031433750188,1439.271075741427,-15.488645259481189,2280.3062287971657,2937.8520485048134,26.24289990144021,0.000506599167906,bist100__linear_regression__indicators__seed42,bist100,indicators,42,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__linear_regression__indicators__seed42/artifacts/20260716_224012_258834,753.477052018749,3.8990597532248534
lstm_gru,20,49,0.0877079871945311,0.1042179246947096,240.6812443959168,-0.4519545682128445,724.9698122849129,860.6054163924905,8.464198363797887,0.9142314160892328,bist100__lstm_gru__indicators__seed42,bist100,indicators,42,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__lstm_gru__indicators__seed42/artifacts/20260716_233738_277926,753.477052018749,1.1421786689942561
mlp,20,49,0.1764420364394078,0.2138473185581336,780.4539466395829,-5.113301342068335,1621.707838216272,2158.1272028410112,16.993619159869354,0.4606456726625066,bist100__mlp__indicators__seed42,bist100,indicators,42,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__mlp__indicators__seed42/artifacts/20260716_231256_995595,753.477052018749,2.864224195095075
