mae,rmse,mape,r2,price_mae,price_rmse,price_mape,price_r2,model,best_val_loss,epochs_ran,training_time_seconds,inference_time_seconds,checkpoint_path,folds,forecast_count,run_id,market,feature_set,seed,artifact_dir,persistence_price_rmse,persistence_rmse,price_rmse_ratio_to_persistence,rmse_ratio_to_persistence,price_rmse_rank
0.2624885720945272,0.3429442368010182,1113.8485030519817,-14.72226832003157,1997.881013783062,2592.703302605064,21.69945462601601,0.221558947242993,cnn1d,4.282991610182335,595,126.27160577500943,0.0218703540085698,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__cnn1d__close__seed7/artifacts/20260716_224242_268112/checkpoints/cnn1d,49,49,bist100__cnn1d__close__seed7,bist100,close,7,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__cnn1d__close__seed7/artifacts/20260716_224242_268112,753.477052018749,0.0933163829095019,3.440985091262672,3.6750699728000074,6.0
0.0746143729549509,0.0933163829095019,100.0,-0.1640830858481394,590.4101263552296,753.477052018749,7.219622622360065,0.9342553906157848,naive_persistence,,0,0.0,0.0,,49,49,bist100__naive_persistence__close__seed42,bist100,close,42,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__naive_persistence__close__seed42/artifacts/20260716_223832_444712,753.477052018749,0.0933163829095019,1.0,1.0,1.0
0.0776518222770781,0.0971734910128016,162.33646715209028,-0.262303529471861,622.9513409687823,770.3794791388187,7.514437019393686,0.9312726654235772,dnfs,1.0704059791893756,620,206.00111372800893,0.0517374199989717,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__dnfs__close__seed42/artifacts/20260716_235152_108408/checkpoints/dnfs,49,49,bist100__dnfs__close__seed42,bist100,close,42,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__dnfs__close__seed42/artifacts/20260716_235152_108408,753.477052018749,0.0933163829095019,1.0224325705405148,1.0413336649261289,2.0
0.0868093775527967,0.1071407613231961,195.6100377161899,-0.5345379812349089,687.0427621393644,827.0920051811513,8.254686368724197,0.920781295612993,lstm_gru,1.1773192170836335,582,172.10711204899417,0.0311859489956987,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__lstm_gru__close__seed42/artifacts/20260716_232346_191797/checkpoints/lstm_gru,49,49,bist100__lstm_gru__close__seed42,bist100,close,42,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__lstm_gru__close__seed42/artifacts/20260716_232346_191797,753.477052018749,0.0933163829095019,1.0977003253983248,1.148145245054141,3.0
0.1236284759814171,0.1482177793262562,482.0775762827898,-1.936762258743016,999.9400569938148,1208.6225039291612,11.517527245220744,0.8308385332282685,mlp,1.3576153020887656,692,122.41016569699968,0.0150776379996386,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__mlp__close__seed42/artifacts/20260716_230339_726014/checkpoints/mlp,49,49,bist100__mlp__close__seed42,bist100,close,42,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__mlp__close__seed42/artifacts/20260716_230339_726014,753.477052018749,0.0933163829095019,1.6040601378515331,1.588336096031472,4.0
0.1553310136225119,0.180573070084918,602.1124931402485,-3.3588723398066573,1235.7820241291322,1465.989406353497,14.231814784107524,0.7511247246661056,linear_regression,,0,0.2832343120026053,0.0123791839941986,,49,49,bist100__linear_regression__close__seed42,bist100,close,42,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__linear_regression__close__seed42/artifacts/20260716_223937_620657,753.477052018749,0.0933163829095019,1.9456324547983959,1.9350628952264204,5.0
0.251402832505411,0.3114098988834288,1055.873661193809,-11.963820616591146,1958.218127377076,2454.546471990035,21.441173944481307,0.3023098244068142,cnn1d,3.7392596511968543,538,114.67848173200582,0.0205846520020713,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__cnn1d__close__seed42/artifacts/20260716_224449_633905/checkpoints/cnn1d,49,49,bist100__cnn1d__close__seed42,bist100,close,42,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__cnn1d__close__seed42/artifacts/20260716_224449_633905,753.477052018749,0.0933163829095019,3.257626049013312,3.3371406946348716,6.0
0.0746143729549509,0.0933163829095019,100.0,-0.1640830858481394,590.4101263552296,753.477052018749,7.219622622360065,0.9342553906157848,naive_persistence,,0,0.0,0.0,,49,49,bist100__naive_persistence__close__seed123,bist100,close,123,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__naive_persistence__close__seed123/artifacts/20260716_223838_170344,753.477052018749,0.0933163829095019,1.0,1.0,1.0
0.0836629276997602,0.1002260900056883,165.78174187433768,-0.3428569838637296,671.85419214328,788.3868645774942,8.103346879074088,0.9280221534499444,dnfs,1.0821263999725712,569,188.7111305119979,0.0506130859830591,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__dnfs__close__seed123/artifacts/20260716_235530_294842/checkpoints/dnfs,49,49,bist100__dnfs__close__seed123,bist100,close,123,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__dnfs__close__seed123/artifacts/20260716_235530_294842,753.477052018749,0.0933163829095019,1.0463316201405382,1.0740460236536111,2.0
0.0849980094393194,0.1058661482555441,180.057888077873,-0.4982435291881864,672.6940354216433,817.1540194945318,8.075777947091858,0.9226735749931984,lstm_gru,1.1813766549873566,594,175.11358100701543,0.0307158169998729,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__lstm_gru__close__seed123/artifacts/20260716_232639_354896/checkpoints/lstm_gru,49,49,bist100__lstm_gru__close__seed123,bist100,close,123,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__lstm_gru__close__seed123/artifacts/20260716_232639_354896,753.477052018749,0.0933163829095019,1.084510825253638,1.134486195829225,3.0
0.1246081477283703,0.1509497025187421,582.4010563648246,-2.046019707937826,1007.0871011903936,1234.6923444971455,11.573212786492013,0.8234622446500324,mlp,1.4254382310425673,663,115.32018215700192,0.0149012659985601,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__mlp__close__seed123/artifacts/20260716_230543_134335/checkpoints/mlp,49,49,bist100__mlp__close__seed123,bist100,close,123,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__mlp__close__seed123/artifacts/20260716_230543_134335,753.477052018749,0.0933163829095019,1.6386595201394698,1.6176120185148295,4.0
0.1553310136225119,0.180573070084918,602.1124931402485,-3.3588723398066573,1235.7820241291322,1465.989406353497,14.231814784107524,0.7511247246661056,linear_regression,,0,0.2816814880043239,0.012172578002719,,49,49,bist100__linear_regression__close__seed123,bist100,close,123,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__linear_regression__close__seed123/artifacts/20260716_223942_742753,753.477052018749,0.0933163829095019,1.9456324547983959,1.9350628952264204,5.0
0.2787355429492484,0.3897244054548671,1469.696008228841,-19.30408357206768,2037.5274470836528,2765.1675469914176,22.29627766212361,0.1145521414512436,cnn1d,5.000619604995912,560,120.85753456399652,0.021819707002578,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__cnn1d__close__seed123/artifacts/20260716_224645_429769/checkpoints/cnn1d,49,49,bist100__cnn1d__close__seed123,bist100,close,123,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__cnn1d__close__seed123/artifacts/20260716_224645_429769,753.477052018749,0.0933163829095019,3.6698762617691654,4.176377108752932,6.0
