run_id,market,model,feature_set,seed,config_sha256,aligned_warmup_rows,matched_plan_path,dataset_path,dataset_sha256,git_revision,python_version,platform,forecastle_version,torch_version,device_requested,divergence,matched_plan_sha256,status,last_action,started_at,completed_at,duration_seconds,artifact_dir
wig20__cnn1d__close__seed1,wig20,cnn1d,close,1,e67a25feda92f8864e81ed834722db0894374d517b744e05d4981d41a84acf74,33,outputs/batches/markets_matched_origins_direct_h20/matched_origins/wig20_plan.csv,data/raw/wig20.csv,2068449fa9044aae9b8dd670428feb5e3e2fb7c35207f8d46027f83ee2cf5ce4,9add7d739ae5e35aecd3175ed7e779ecb4f0f3f3,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,auto,False,5f24d4c5ad6545b635251a6a4cdfb786e4eccf1498e713a282117be6e76b35dc,completed,completed,2026-07-16T19:45:22.991118+00:00,2026-07-16T19:46:55.889252+00:00,92.89301832699994,outputs/batches/markets_matched_origins_direct_h20/runs/wig20__cnn1d__close__seed1/artifacts/20260716_194523_051629
wig20__cnn1d__close__seed7,wig20,cnn1d,close,7,aca3be51cfc11045bfd50df29cd8feae7ec254c53a7e2131ea21d1661b57bb85,33,outputs/batches/markets_matched_origins_direct_h20/matched_origins/wig20_plan.csv,data/raw/wig20.csv,2068449fa9044aae9b8dd670428feb5e3e2fb7c35207f8d46027f83ee2cf5ce4,9add7d739ae5e35aecd3175ed7e779ecb4f0f3f3,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,auto,False,5f24d4c5ad6545b635251a6a4cdfb786e4eccf1498e713a282117be6e76b35dc,completed,completed,2026-07-16T19:46:55.892930+00:00,2026-07-16T19:48:25.434842+00:00,89.53291774599984,outputs/batches/markets_matched_origins_direct_h20/runs/wig20__cnn1d__close__seed7/artifacts/20260716_194655_970860
wig20__cnn1d__close__seed42,wig20,cnn1d,close,42,e7703c10a200bc11f35c76e86ce4770c8126eeb0045d43ae3c2cbf620a691801,33,outputs/batches/markets_matched_origins_direct_h20/matched_origins/wig20_plan.csv,data/raw/wig20.csv,2068449fa9044aae9b8dd670428feb5e3e2fb7c35207f8d46027f83ee2cf5ce4,9add7d739ae5e35aecd3175ed7e779ecb4f0f3f3,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,auto,False,5f24d4c5ad6545b635251a6a4cdfb786e4eccf1498e713a282117be6e76b35dc,completed,completed,2026-07-16T19:48:25.436715+00:00,2026-07-16T19:49:49.211314+00:00,83.76894958399998,outputs/batches/markets_matched_origins_direct_h20/runs/wig20__cnn1d__close__seed42/artifacts/20260716_194825_498986
wig20__cnn1d__close__seed123,wig20,cnn1d,close,123,c16fddf1afc196421bd9754f0bf21e5da270ed3c2ca5d89c6478cea69627f58b,33,outputs/batches/markets_matched_origins_direct_h20/matched_origins/wig20_plan.csv,data/raw/wig20.csv,2068449fa9044aae9b8dd670428feb5e3e2fb7c35207f8d46027f83ee2cf5ce4,9add7d739ae5e35aecd3175ed7e779ecb4f0f3f3,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,auto,False,5f24d4c5ad6545b635251a6a4cdfb786e4eccf1498e713a282117be6e76b35dc,completed,completed,2026-07-16T19:49:49.213012+00:00,2026-07-16T19:51:12.023037+00:00,82.80503572500038,outputs/batches/markets_matched_origins_direct_h20/runs/wig20__cnn1d__close__seed123/artifacts/20260716_194949_270640
wig20__cnn1d__close__seed2026,wig20,cnn1d,close,2026,65ed38781662a49e66846f38a66d4aa03826f29297300d283fcfe33212e3c860,33,outputs/batches/markets_matched_origins_direct_h20/matched_origins/wig20_plan.csv,data/raw/wig20.csv,2068449fa9044aae9b8dd670428feb5e3e2fb7c35207f8d46027f83ee2cf5ce4,9add7d739ae5e35aecd3175ed7e779ecb4f0f3f3,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,auto,False,5f24d4c5ad6545b635251a6a4cdfb786e4eccf1498e713a282117be6e76b35dc,completed,completed,2026-07-16T19:51:12.024728+00:00,2026-07-16T19:52:48.650208+00:00,96.62041938900029,outputs/batches/markets_matched_origins_direct_h20/runs/wig20__cnn1d__close__seed2026/artifacts/20260716_195112_081531
wig20__cnn1d__indicators__seed1,wig20,cnn1d,indicators,1,24a1a67e92fd9e44b86fd8c4186a095704986c46cc4f3f036432c749ddbee8fd,33,outputs/batches/markets_matched_origins_direct_h20/matched_origins/wig20_plan.csv,data/raw/wig20.csv,2068449fa9044aae9b8dd670428feb5e3e2fb7c35207f8d46027f83ee2cf5ce4,9add7d739ae5e35aecd3175ed7e779ecb4f0f3f3,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,auto,False,5f24d4c5ad6545b635251a6a4cdfb786e4eccf1498e713a282117be6e76b35dc,completed,completed,2026-07-16T19:52:48.651903+00:00,2026-07-16T19:53:55.049699+00:00,66.39242339899965,outputs/batches/markets_matched_origins_direct_h20/runs/wig20__cnn1d__indicators__seed1/artifacts/20260716_195248_717169
wig20__cnn1d__indicators__seed7,wig20,cnn1d,indicators,7,c5c56ba37c043d79c29a635bd0caa9a5b36df4ccb59ca2558f65917bb95ade30,33,outputs/batches/markets_matched_origins_direct_h20/matched_origins/wig20_plan.csv,data/raw/wig20.csv,2068449fa9044aae9b8dd670428feb5e3e2fb7c35207f8d46027f83ee2cf5ce4,9add7d739ae5e35aecd3175ed7e779ecb4f0f3f3,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,auto,False,5f24d4c5ad6545b635251a6a4cdfb786e4eccf1498e713a282117be6e76b35dc,completed,completed,2026-07-16T19:53:55.051347+00:00,2026-07-16T19:55:01.608849+00:00,66.55243194200011,outputs/batches/markets_matched_origins_direct_h20/runs/wig20__cnn1d__indicators__seed7/artifacts/20260716_195355_112603
wig20__cnn1d__indicators__seed42,wig20,cnn1d,indicators,42,0a8ddaf2642f2c469e2b190bcf9ecd309929fbb300354c83d4c0f8aabaf44db4,33,outputs/batches/markets_matched_origins_direct_h20/matched_origins/wig20_plan.csv,data/raw/wig20.csv,2068449fa9044aae9b8dd670428feb5e3e2fb7c35207f8d46027f83ee2cf5ce4,9add7d739ae5e35aecd3175ed7e779ecb4f0f3f3,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,auto,False,5f24d4c5ad6545b635251a6a4cdfb786e4eccf1498e713a282117be6e76b35dc,completed,completed,2026-07-16T19:55:01.610648+00:00,2026-07-16T19:56:09.258865+00:00,67.64297345800014,outputs/batches/markets_matched_origins_direct_h20/runs/wig20__cnn1d__indicators__seed42/artifacts/20260716_195501_676316
wig20__cnn1d__indicators__seed123,wig20,cnn1d,indicators,123,c635b2d21f3069cd44d4bb35ff862e339493b171c4c81d7b8fb5ad55b70298b3,33,outputs/batches/markets_matched_origins_direct_h20/matched_origins/wig20_plan.csv,data/raw/wig20.csv,2068449fa9044aae9b8dd670428feb5e3e2fb7c35207f8d46027f83ee2cf5ce4,9add7d739ae5e35aecd3175ed7e779ecb4f0f3f3,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,auto,False,5f24d4c5ad6545b635251a6a4cdfb786e4eccf1498e713a282117be6e76b35dc,completed,completed,2026-07-16T19:56:09.260588+00:00,2026-07-16T19:57:14.224381+00:00,64.95853135499965,outputs/batches/markets_matched_origins_direct_h20/runs/wig20__cnn1d__indicators__seed123/artifacts/20260716_195609_326566
wig20__cnn1d__indicators__seed2026,wig20,cnn1d,indicators,2026,21b423e3a5508583458f4662f199d92899b4ecbc32671a2649dfab12c8a7f8a5,33,outputs/batches/markets_matched_origins_direct_h20/matched_origins/wig20_plan.csv,data/raw/wig20.csv,2068449fa9044aae9b8dd670428feb5e3e2fb7c35207f8d46027f83ee2cf5ce4,9add7d739ae5e35aecd3175ed7e779ecb4f0f3f3,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,auto,False,5f24d4c5ad6545b635251a6a4cdfb786e4eccf1498e713a282117be6e76b35dc,completed,completed,2026-07-16T19:57:14.226032+00:00,2026-07-16T19:58:21.370005+00:00,67.1386607710001,outputs/batches/markets_matched_origins_direct_h20/runs/wig20__cnn1d__indicators__seed2026/artifacts/20260716_195714_289471
