market,feature_set,model,runs,seeds_completed,price_rmse_mean,price_rmse_std,price_mae_mean,price_mae_std,rmse_mean,rmse_std,mae_mean,mae_std,training_time_seconds_mean,training_time_seconds_std,inference_time_seconds_mean,inference_time_seconds_std,price_rmse_rank
sp500,indicators,lstm_gru,5,5,163.81411515350055,3.1674948635083546,119.74863054807349,2.10472891400514,0.03259284209859018,0.0005764943624777109,0.0234791762531568,0.00037193957685096506,219.83649041419886,6.946631721092501,0.6956353421985113,0.005632835060072964,2.0
sp500,indicators,mlp,5,5,164.9122448737372,4.50783151380545,120.37307135175259,2.831137338809223,0.03236851171276271,0.0009644290929644505,0.02342739071633888,0.0005464819165826048,175.03274834239855,5.471544794802452,0.33797972719075914,0.0038200850458275835,3.0
sp500,indicators,naive_persistence,5,5,167.26162855357083,0.0,123.93899043913811,0.0,0.0330813840126051,0.0,0.0242834056877667,0.0,0.0,0.0,0.0,0.0,4.0
sp500,indicators,linear_regression,5,5,170.1262282725961,0.0,128.28220814502131,0.0,0.0334713585849193,0.0,0.0250003212021926,0.0,2.117571796800166,0.015478347855366798,0.2082762846007426,0.0021194228039371826,5.0
sp500,indicators,dnfs,5,5,225.17185089627665,21.768942235646453,167.19634588756003,14.280848477898896,0.0444251021594567,0.004480284045721877,0.032580405405460824,0.002914660082314773,115.61366106839924,3.0793208449981373,0.40357692258476163,0.003572003639566157,6.0
wig20,close,cnn1d,5,5,107.62223907735995,2.0275086546932237,83.97251040964724,1.1090794162525552,0.041950038061374414,0.0005207232977217499,0.03277666095054038,0.00031376724578341625,120.08161152620009,10.277174577385235,0.34615513419994387,0.007894464999773507,1.0
wig20,close,naive_persistence,5,5,108.01952280600362,0.0,84.16367828941857,0.0,0.0419587822186376,0.0,0.0328430448295379,0.0,0.0,0.0,0.0,0.0,2.0
wig20,close,mlp,5,5,109.33293536264958,2.634878300874267,84.97013820487042,2.1923228939059545,0.0422386145168326,0.0006537733098245414,0.03304312308319246,0.0006613494265992886,89.66223033340074,5.104430227604182,0.24930887679774968,0.003097778565309197,3.0
wig20,close,lstm_gru,5,5,109.51534255368077,1.3275694968977834,85.12159344551489,1.0640579654331797,0.042182545242539636,0.0003574245530471269,0.03308837443895478,0.0003409456147616094,186.7576547497979,9.216958046435659,0.5399801264003145,0.00684348717942739,4.0
wig20,close,dnfs,5,5,111.73086487726687,0.510042333041534,86.5326531836794,0.44602707034447997,0.042898094256536276,0.00021981386299555118,0.03356565673304068,0.00012940948014292545,123.45802718899958,2.167564022575258,0.3054299862056723,0.002125964914839955,5.0
wig20,close,linear_regression,5,5,113.29186966550417,0.0,86.91040878885006,0.0,0.0427944762951832,0.0,0.0334911512473437,0.0,0.16557136240044196,0.003635385098765142,0.14442760059619103,0.0018104341107860588,6.0
wig20,indicators,naive_persistence,5,5,96.58449377616964,0.0,72.24299454785552,0.0,0.0374572008267641,0.0,0.027871208611061897,0.0,0.0,0.0,0.0,0.0,1.0
wig20,indicators,lstm_gru,5,5,98.97565499444684,0.3149011167790795,73.8914181810833,0.44784009483643394,0.038198735508977844,0.0001451652140431424,0.0284702782287116,0.00011832434872740581,133.89255963000159,7.526143078934709,0.5714257473879115,0.003053766712345959,2.0
wig20,indicators,cnn1d,5,5,99.8217968873764,1.782683407280399,74.14819645852351,1.1815595421048153,0.03858654768368738,0.0005088833934881339,0.02862078082889024,0.0003966184209275853,138.89212619439968,6.924161829014995,0.35343756340062094,0.0010341831333576155,3.0
wig20,indicators,mlp,5,5,101.98745399707029,3.0445102501335994,76.01638337131808,2.262804684535582,0.03910117209325172,0.001044766641135389,0.02923104291565846,0.0008747785870914982,72.84276732080016,2.3197073574989004,0.2766300201998092,0.0020825430014360332,4.0
wig20,indicators,dnfs,5,5,102.14282070380392,3.3173320079820243,76.18395168703596,2.0105492896861903,0.0390622053805731,0.001054328362436821,0.02918342467338924,0.0007565508040252214,88.74461499880036,3.166631495300493,0.33187779620311625,0.0037355867421628563,5.0
wig20,indicators,linear_regression,5,5,102.30108830044568,0.0,76.83841906985836,0.0,0.0385198184553875,0.0,0.029160450756891897,0.0,1.3195057347998955,0.010758025807197404,0.1543151517998012,0.0008919643543087822,6.0
