num_rules,seed,fold,effective_rules_per_fold,effective_rules_per_sample,largest_mean_rule_usage,active_rules_above_1pct,unused_rules_below_1pct,normalized_entropy,dominant_rule_fraction
8,1,1,3.697674556907075,3.638776695196418,0.48727189302444457,5,3,0.6288727515142396,0.95
8,1,2,4.0309236009392855,4.022752195179203,0.37022627145051956,5,3,0.6703701465677909,1.0
8,1,3,3.3598671871691823,3.203861116391965,0.4572918124496937,5,3,0.5828014018545794,0.7
8,1,4,3.4341507150537827,3.284181712991908,0.6000316053628921,6,2,0.5933177854963126,1.0
8,7,0,3.7855603766435135,3.7197523926237315,0.4858331874012947,4,4,0.6401689594066667,1.0
8,7,1,3.803908126979193,3.7372782928146826,0.41467149257659913,5,3,0.6424941340857763,0.8
8,7,2,3.973879009955949,3.954446729903818,0.4006627321243286,5,3,0.6635159828274872,1.0
8,7,3,4.126758379630442,3.993500777882892,0.2938741669058799,5,3,0.6816696571630809,0.5
8,7,4,4.478571349961481,4.215293890516238,0.3756589278578758,6,2,0.7210128635114083,0.7
8,42,0,2.7637991011097034,2.6691375300540154,0.6605825155973435,5,3,0.48888425030157334,1.0
8,42,1,5.3326136599185645,5.063322735214227,0.3307649239897728,8,0,0.80494760355185,0.55
8,42,2,1.9700944049079214,1.9646490875367786,0.805043688416481,4,4,0.3260882546027197,1.0
8,42,3,1.8366706825819918,1.715085412304914,0.8169280171394349,3,5,0.29236432418627617,0.95
8,42,4,1.9276963778864786,1.9008349359139252,0.7218608796596527,2,6,0.3156259458525028,1.0
8,123,0,4.966885398478169,4.872326050221273,0.329462656378746,5,3,0.7707804865631548,0.95
8,123,1,2.121916520673285,2.0597216171692034,0.8018406495451927,4,4,0.36178929987252517,1.0
8,123,2,4.784574412153281,4.741590292802302,0.3692942723631859,6,2,0.752796867569565,1.0
8,123,3,4.281445386621353,4.087474429755407,0.3731927499175071,5,3,0.6993659742717176,0.9
8,123,4,3.058314427667101,2.970825689229158,0.6294645085930825,6,2,0.537578912971577,1.0
8,2026,0,5.393222998655604,5.175069169078566,0.27404494211077685,6,2,0.8103825625161061,0.5
8,2026,1,4.740247564538222,4.604905656690401,0.40131557583808897,6,2,0.7483208024648698,0.9
8,2026,2,4.528359324402183,4.436558429995672,0.3173943519592285,6,2,0.726329480091144,0.7
8,2026,3,4.54669132485653,4.144080889229183,0.40743290930986403,7,1,0.7282723542517401,0.95
8,2026,4,4.431623464708563,4.062115675955747,0.36281197667121884,6,2,0.7159451024092119,0.65
16,1,0,3.4126590000702186,3.3599313970889653,0.47473865151405337,6,10,0.44272406614321197,1.0
16,1,1,7.418598499690793,5.102316361647121,0.29017238244414323,11,5,0.7227866656965874,0.6
16,1,2,3.8331501263139662,3.8016078936041686,0.4223141983151436,5,11,0.48463262569213955,1.0
16,1,3,3.7639259507523755,3.4802826791874275,0.42821638509631155,7,9,0.4780595614046848,0.6
16,1,4,5.129110021925183,3.9389329648840885,0.39137264788150783,7,9,0.5896771295408101,0.45
16,7,0,5.462458197424607,5.302027411999636,0.40514830872416496,8,8,0.6123875835343627,0.95
16,7,1,6.455160247216863,6.16421661188826,0.347451913356781,10,6,0.6726132276009895,0.9
16,7,2,3.0574127868489307,3.0260686483241406,0.6788721233606339,6,10,0.40307783656264823,1.0
16,7,3,1.6985391888217907,1.6903399774554084,0.8910062640905381,5,11,0.1910736261419487,1.0
16,7,4,5.080867343929677,4.623796536297703,0.3106178890913725,7,9,0.5862686993465825,0.6
16,42,0,5.749718018123795,5.336604549644181,0.38743402659893034,9,7,0.6308728010216493,1.0
16,42,1,7.2331575693664085,6.881970931299071,0.35523385852575295,11,5,0.7136563950309609,0.8
16,42,2,3.747532726189129,3.723688036325555,0.5200857952237129,6,10,0.4764852692233778,1.0
16,42,3,4.565421701801072,4.437337497374305,0.4058169901371002,6,10,0.5476870315364012,1.0
16,42,4,3.1719484629545818,2.962161062714415,0.4871489226818085,4,12,0.4163423326687427,0.6
16,123,0,4.853875180315997,4.68238120875586,0.32894120961427686,7,9,0.5697842523460732,0.55
16,123,1,6.473928865717386,6.310542754068378,0.25183108747005456,8,8,0.6736603783947814,0.6
16,123,2,4.902281994153855,4.871367995059976,0.3154989033937454,6,10,0.5733633686983733,0.8
16,123,3,6.635801176269116,6.122404738206931,0.24746746048331256,9,7,0.6825676651272515,0.55
16,123,4,3.4813224767491127,3.308965037765062,0.43041207641363144,4,12,0.44990886446473605,0.5
16,2026,0,5.033502444756769,4.902631186518112,0.2790409848093986,6,10,0.5828906537493445,0.45
16,2026,1,4.843642107974485,3.9941591267797527,0.4089107049629092,5,11,0.5690230674076558,0.7
16,2026,2,4.484217235708414,4.4039907027040766,0.4036191955208778,5,11,0.5412140426227962,1.0
16,2026,3,4.5258500123356376,4.371702523556751,0.3325199723243713,6,10,0.5445471935415528,0.5
16,2026,4,6.188243499539561,5.4754686986167105,0.30820881891995666,9,7,0.6573824915313596,0.65
