usage_regularization,seed,fold,effective_rules_per_fold,effective_rules_per_sample,largest_mean_rule_usage,active_rules_above_1pct,unused_rules_below_1pct,normalized_entropy,dominant_rule_fraction
1e-4,7,0,3.8849518546535653,3.823269439263661,0.458217753469944,4,4,0.6526322399147328,1.0
1e-4,7,1,3.778752277984353,3.7167175128258796,0.43147555738687515,5,3,0.639303314522677,0.85
1e-4,7,2,3.965867129027878,3.859830403056776,0.3888128027319908,5,3,0.6625454476152343,0.75
1e-4,7,3,2.5600538331742504,2.5330286996699978,0.7025992214679718,5,3,0.4520580492465692,1.0
1e-4,7,4,4.274319947801039,4.017529897020133,0.30188415274024005,5,3,0.6985649676034971,0.4
1e-4,42,0,4.113681398050365,4.002279069096742,0.4093456193804741,5,3,0.680143354132218,0.9
1e-4,42,1,5.0667495450901745,4.826382623955858,0.3648369789123535,7,1,0.7803535055489267,0.65
1e-4,42,2,1.9118575124760315,1.9069438174000193,0.8169038087129593,4,4,0.31165833523030123,1.0
1e-4,42,3,1.783637772907012,1.6827846165239404,0.8307233169674874,3,5,0.27827421923197915,0.95
1e-4,42,4,1.4874376584437141,1.4806088757888367,0.8798936039209366,2,6,0.1909430677953533,1.0
1e-4,123,0,4.811703954561594,4.733402216981661,0.3179665446281433,5,3,0.7555159606090828,0.6
1e-4,123,1,2.9131731101122496,2.869042611603359,0.6199435248970986,6,2,0.5141971445344056,1.0
1e-4,123,2,5.425091347444602,5.353103215170734,0.3040388628840446,6,2,0.8132158099319922,1.0
1e-4,123,3,4.313157977908131,4.111040842960729,0.3898029282689094,5,3,0.7029148528627406,1.0
1e-4,123,4,3.4065835496478747,3.186199412616983,0.5712635368108749,6,2,0.589441863548387,0.85
1e-4,2026,0,5.4120956166714,5.225471137141291,0.3023012191057205,7,1,0.8120624426489834,0.75
1e-4,2026,1,4.2010605391253,4.1275043550813555,0.4823246762156487,6,2,0.6902511919475506,0.95
1e-4,2026,2,4.023369947236076,3.9575796732154145,0.3777712017297744,5,3,0.6694681330956784,0.95
1e-4,2026,3,3.3057062145855562,3.2300464544943246,0.5091162502765656,6,2,0.5749861716105731,1.0
1e-4,2026,4,4.414692536976095,4.048179235887174,0.36227005980908866,6,2,0.7141043214334912,0.65
3e-4,1,0,3.35683686665433,3.2479675859882287,0.6078736469149589,5,3,0.5823674758654164,1.0
3e-4,1,1,3.6877393745207425,3.6297005819019956,0.491609713435173,5,3,0.6275788996833652,0.95
3e-4,1,2,4.038218389649113,4.029745822593011,0.3698943331837654,5,3,0.6712396449089476,0.9
3e-4,1,3,3.2839789916043403,3.1230010290679724,0.4887042626738548,5,3,0.571814965960499,0.75
3e-4,1,4,2.3153264241863085,2.1846718088567596,0.7677898913621902,5,3,0.4037385349568547,1.0
3e-4,7,0,3.868739875981937,3.8054103476702807,0.4639022395014763,4,4,0.6506212429919173,1.0
3e-4,7,1,3.9053604286252668,3.8204074920186932,0.39932179600000384,6,2,0.6551519006375238,0.75
3e-4,7,2,4.588654913738971,4.536467139896774,0.33382548987865446,5,3,0.732690438019847,1.0
3e-4,7,3,2.5702519928206944,2.543951246078067,0.6995829463005065,5,3,0.45396993705290006,1.0
3e-4,7,4,4.2670367069814485,4.018998117388673,0.30659737735986703,5,3,0.6977448404360862,0.45
3e-4,42,0,4.071137497915829,3.961853748260534,0.41704319417476654,5,3,0.6751439825471278,0.9
3e-4,42,1,5.126367346658347,4.877231288589277,0.3587410643696785,8,0,0.7859789544588541,0.6
3e-4,42,2,1.925427353940294,1.9204265582802367,0.8141597002744675,4,4,0.31505956383779715,1.0
3e-4,42,3,1.791193524048045,1.6870960298377409,0.8287189945578575,3,5,0.2803070724452768,0.95
3e-4,42,4,1.847967415772193,1.8228498552924712,0.7124321013689041,2,6,0.2953131062343125,1.0
3e-4,123,0,4.853829617594138,4.7719006197427545,0.3216990530490875,5,3,0.7597078223073479,0.95
3e-4,123,1,3.061188771008057,3.0098412352557253,0.5885732352733613,7,1,0.5380306709061822,1.0
3e-4,123,2,5.268128787313832,5.203894356375328,0.3213158711791038,6,2,0.7990968716235972,1.0
3e-4,123,3,4.306671169643347,4.106472226122018,0.38629995584487914,5,3,0.7021910575514685,1.0
3e-4,123,4,4.040768864478797,3.770527974157941,0.45246669873595236,6,2,0.671543276820159,0.75
3e-4,2026,0,4.56220091408828,4.427255743100033,0.3697499744594097,6,2,0.7299099942272207,0.75
3e-4,2026,1,4.316163641560283,4.233337829101337,0.4699262253940105,6,2,0.7032498545706473,0.95
3e-4,2026,2,4.002499269780124,3.9188572639220127,0.48296989798545836,5,3,0.6669670465116214,1.0
3e-4,2026,3,3.3506960733020352,3.2763587449673475,0.499802340567112,6,2,0.5814869440145423,1.0
3e-4,2026,4,4.418303515915787,4.051141248525944,0.3624111469835043,6,2,0.7144975094049008,0.65
1e-3,1,0,3.3580426705335427,3.2454524533643614,0.6071959972381592,5,3,0.5825401875560122,1.0
1e-3,1,1,3.697674556907075,3.638776695196418,0.48727189302444457,5,3,0.6288727515142396,0.95
1e-3,1,2,4.0309236009392855,4.022752195179203,0.37022627145051956,5,3,0.6703701465677909,1.0
1e-3,1,3,3.3598671871691823,3.203861116391965,0.4572918124496937,5,3,0.5828014018545794,0.7
1e-3,1,4,3.4341507150537827,3.284181712991908,0.6000316053628921,6,2,0.5933177854963126,1.0
1e-3,7,0,3.7855603766435135,3.7197523926237315,0.4858331874012947,4,4,0.6401689594066667,1.0
1e-3,7,1,3.803908126979193,3.7372782928146826,0.41467149257659913,5,3,0.6424941340857763,0.8
1e-3,7,2,3.973879009955949,3.954446729903818,0.4006627321243286,5,3,0.6635159828274872,1.0
1e-3,7,3,4.126758379630442,3.993500777882892,0.2938741669058799,5,3,0.6816696571630809,0.5
1e-3,7,4,4.478571349961481,4.215293890516238,0.3756589278578758,6,2,0.7210128635114083,0.7
1e-3,42,0,2.7637991011097034,2.6691375300540154,0.6605825155973435,5,3,0.48888425030157334,1.0
1e-3,42,1,5.3326136599185645,5.063322735214227,0.3307649239897728,8,0,0.80494760355185,0.55
1e-3,42,2,1.9700944049079214,1.9646490875367786,0.805043688416481,4,4,0.3260882546027197,1.0
1e-3,42,3,1.8366706825819918,1.715085412304914,0.8169280171394349,3,5,0.29236432418627617,0.95
1e-3,42,4,1.9276963778864786,1.9008349359139252,0.7218608796596527,2,6,0.3156259458525028,1.0
1e-3,123,0,4.966885398478169,4.872326050221273,0.329462656378746,5,3,0.7707804865631548,0.95
1e-3,123,1,2.121916520673285,2.0597216171692034,0.8018406495451927,4,4,0.36178929987252517,1.0
1e-3,123,2,4.784574412153281,4.741590292802302,0.3692942723631859,6,2,0.752796867569565,1.0
1e-3,123,3,4.281445386621353,4.087474429755407,0.3731927499175071,5,3,0.6993659742717176,0.9
1e-3,123,4,3.058314427667101,2.970825689229158,0.6294645085930825,6,2,0.537578912971577,1.0
1e-3,2026,0,5.393222998655604,5.175069169078566,0.27404494211077685,6,2,0.8103825625161061,0.5
1e-3,2026,1,4.740247564538222,4.604905656690401,0.40131557583808897,6,2,0.7483208024648698,0.9
1e-3,2026,2,4.528359324402183,4.436558429995672,0.3173943519592285,6,2,0.726329480091144,0.7
1e-3,2026,3,4.54669132485653,4.144080889229183,0.40743290930986403,7,1,0.7282723542517401,0.95
1e-3,2026,4,4.431623464708563,4.062115675955747,0.36281197667121884,6,2,0.7159451024092119,0.65
3e-3,1,0,3.3327642117139415,3.210524641641925,0.6088885277509689,5,3,0.5789064174848203,1.0
3e-3,1,1,3.7245405814892387,3.6635708930465682,0.4749337822198868,5,3,0.632354160499572,0.9
3e-3,1,2,3.8599865032932312,3.853873608140438,0.3783416017889977,4,4,0.6495319343401026,1.0
3e-3,1,3,3.550617591446074,3.432068513488751,0.384618715941906,6,2,0.609356662536524,0.55
3e-3,1,4,4.345527129813589,3.8274485618353813,0.35335405468940734,6,2,0.7065103974436827,0.6
3e-3,7,0,3.6145765384233632,3.5510099766576353,0.5244639262557029,5,3,0.6179422132633725,1.0
