model,fold,mae,rmse,mape,r2,price_mae,price_rmse,price_mape,price_r2,run_id,market,feature_set,seed,artifact_dir
cnn1d,29,0.1170849620945861,0.1294201437703185,180.4217987827556,-17.497815976408923,1084.4190234470273,1198.0136196462847,10.914548282195176,-15.896247276961253,bist100__cnn1d__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__cnn1d__close__seed1/artifacts/20260717_040906_376309
cnn1d,30,0.0801890134426012,0.0887206232749744,1204.7049918178982,-42.65093468676035,830.1732864019953,923.6598500018052,8.427728745663309,-47.675266630001786,bist100__cnn1d__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__cnn1d__close__seed1/artifacts/20260717_040906_376309
cnn1d,31,0.0188361166904919,0.0220315096962109,357.2227141450269,-2.060271618793951,188.13567003849292,219.8672082421245,1.901634400785101,-2.0872716183139586,bist100__cnn1d__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__cnn1d__close__seed1/artifacts/20260717_040906_376309
cnn1d,32,0.0291421330245004,0.0330818885571251,440.5655739829227,0.234580639056912,292.3908414308172,331.9036008207606,2.925210840519221,0.2416328258020378,bist100__cnn1d__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__cnn1d__close__seed1/artifacts/20260717_040906_376309
cnn1d,33,0.1343033802113133,0.147488033272697,116.01838774848824,-7.254798523766443,1379.4245759466453,1513.5732405018225,14.58092517478116,-7.628873281564985,bist100__cnn1d__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__cnn1d__close__seed1/artifacts/20260717_040906_376309
cnn1d,34,0.0354876928351881,0.041709664604396,342.234488121987,-3.080543399659751,336.45297050640283,394.609255376054,3.637448414452147,-3.1313533626125105,bist100__cnn1d__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__cnn1d__close__seed1/artifacts/20260717_040906_376309
cnn1d,35,0.0592181059268427,0.0644769259440754,344.73885496415767,-8.745156271045202,571.2667454082521,620.8384680293422,6.135138577224598,-9.331246204447108,bist100__cnn1d__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__cnn1d__close__seed1/artifacts/20260717_040906_376309
cnn1d,36,0.0751350882263572,0.0934315585079937,168.94076095335777,-2.911491900623214,717.0552500558948,894.2722054628258,7.0978844621071815,-2.7907831251137845,bist100__cnn1d__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__cnn1d__close__seed1/artifacts/20260717_040906_376309
cnn1d,37,0.0871603918272547,0.0973469432332593,187.530445415686,-19.073844954212568,891.5148577555938,995.1031860119426,8.260959057746108,-17.5976546997634,bist100__cnn1d__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__cnn1d__close__seed1/artifacts/20260717_040906_376309
cnn1d,38,0.0271218022609313,0.0354913282078996,227.89291715091724,-0.548584922502682,299.827996722212,390.354225816888,2.7584966300845126,-0.5463677808016048,bist100__cnn1d__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__cnn1d__close__seed1/artifacts/20260717_040906_376309
cnn1d,39,0.1074078467357199,0.1172971455127197,214.460497880076,-16.256245600734484,1121.8495793783895,1224.094452211339,10.082223474143625,-14.807303384281331,bist100__cnn1d__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__cnn1d__close__seed1/artifacts/20260717_040906_376309
cnn1d,40,0.043668031354006,0.0586373521816496,565.6078623193688,-5.74991623934157,456.13830948429023,612.4947078554078,4.205003604346354,-5.495740550456136,bist100__cnn1d__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__cnn1d__close__seed1/artifacts/20260717_040906_376309
cnn1d,41,0.0159386213365915,0.0198870193428579,136.09415056130092,-0.6409713084874749,173.27150026125392,215.39906691150816,1.6128329374850074,-0.6394911388106828,bist100__cnn1d__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__cnn1d__close__seed1/artifacts/20260717_040906_376309
cnn1d,42,0.0092758423583963,0.0107533639669726,58.360335056786006,0.1317291393292147,104.28076249906326,120.99855986358811,0.9256953508489952,0.1245213899851066,bist100__cnn1d__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__cnn1d__close__seed1/artifacts/20260717_040906_376309
cnn1d,43,0.0914115473099971,0.1005129446484825,94.59086176694125,-4.020939180188362,1119.632446090324,1242.308091006864,8.65649032518299,-3.691083177690549,bist100__cnn1d__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__cnn1d__close__seed1/artifacts/20260717_040906_376309
cnn1d,44,0.0131922632590032,0.0168830924361899,328.0447301479219,-0.0788446532015931,183.77587428864308,235.79733322379064,1.3115078108506864,-0.0833386976142533,bist100__cnn1d__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__cnn1d__close__seed1/artifacts/20260717_040906_376309
cnn1d,45,0.0692439693405845,0.072249293823352,129.16124762313035,-20.13287445446398,930.8687063992212,970.2219460686224,7.192612786175598,-21.64232745994551,bist100__cnn1d__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__cnn1d__close__seed1/artifacts/20260717_040906_376309
