model,fold,mae,rmse,mape,r2,price_mae,price_rmse,price_mape,price_r2
cnn1d,33,0.0152520699613322,0.0201660433463372,122.44927979156807,0.0788400111534847,50.96686478527611,68.06516810859858,1.5096258059466052,0.0769412761073199
cnn1d,34,0.0196625098830055,0.0238616943255643,115.09182875188912,-0.8426643011783075,70.32402331209587,85.59522085656009,1.9388730415419184,-0.8457264489460548
cnn1d,35,0.0121963727499066,0.0146216608328983,125.56809677702527,0.0775143949416201,44.15413321947972,53.020448609119654,1.2147544189768846,0.0723005487324258
cnn1d,36,0.0135319478248516,0.0166608181271317,197.9245310122413,-0.363745332716638,49.275164342641006,60.69035265613011,1.3541227040354546,-0.36335360561327
cnn1d,37,0.0034273939365184,0.0034273939365184,82.3272294732653,,12.625469345312922,12.625469345312922,0.3421527126457535,
cnn_lstm,0,0.0171587899720244,0.0190983961532775,131.0567192947312,-1.1617481481853358,36.85039143650986,41.0490908000777,1.7051423814753193,-1.1653457616569138
cnn_lstm,1,0.0461331761847012,0.0500194707870669,101.2191072222516,-5.327518406652551,94.55008045440576,102.12370015379672,4.741023079763099,-5.601715223115834
cnn_lstm,2,0.0170522324879252,0.0211881051954069,102.3366408619248,-0.2248109635067474,32.71847758270515,40.50463754451378,1.7232443074864627,-0.2178144376743076
cnn_lstm,3,0.0857454927025107,0.0926166170676066,100.50559351766006,-6.089971760212454,172.12122586823818,186.70426156264733,8.160729696869316,-5.74131105378193
cnn_lstm,4,0.029469436343998,0.0328308444987773,124.29009074592076,-1.650616662320009,64.86364431713882,72.42293597853862,2.894605546432815,-1.6423247093843911
cnn_lstm,5,0.0124086524995509,0.0156372419986043,125.20443098129076,-0.7536205768872322,28.75986850352019,36.31863141656609,1.2297891803725518,-0.7543367965145631
cnn_lstm,6,0.024703093841672,0.028565808128568,111.30657175222612,-1.0899192184570925,55.59664463829527,64.17869894706314,2.505516992088383,-1.0759181826460726
cnn_lstm,7,0.0250192072776897,0.031637089963777,107.88509499094803,-0.94362993127853,59.47428931817867,75.46236110707922,2.45702265928687,-0.9412452862566548
cnn_lstm,8,0.017767729344249,0.0210345933484565,164.23670613533682,-1.3877073644237523,42.454611675049435,50.16729714160955,1.7982248579413835,-1.3903573855746632
cnn_lstm,9,0.0161950800638455,0.0186091630833842,102.02304256213009,-1.6194833508723678,39.773560499737485,45.77409407952877,1.6036887009565854,-1.6225559636695324
cnn_lstm,10,0.0357297660416637,0.0382242337334675,165.04733340365595,-7.435589348814226,89.25949872879914,95.58912423773133,3.5009801628561177,-7.280555104417019
cnn_lstm,11,0.0194073089550718,0.0220495997603882,131.41155149602207,-0.1634919822039175,48.07636685401735,54.7058523970524,1.9382391076449097,-0.1632636192741137
cnn_lstm,12,0.0227220522444182,0.0295679074298842,98.645078338297,-1.1650450145261368,57.030189445871656,73.91044752345906,2.3164855186561617,-1.1816352488512665
