model,fold,best_val_loss,epochs_ran,training_time_seconds,inference_time_seconds,checkpoint_path
linear_regression,10,,0,0.0231842500215861,0.0018201659549959,
mlp,10,1.0469755257169406,12,2.133037916995818,0.0132709600438829,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/mlp/fold_0010.pt
rnn,10,1.0437106490135193,15,7.357609458005754,0.0516312920080963,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/rnn/fold_0010.pt
lstm,10,1.044999065498511,9,2.1628633750078734,0.0154821270261891,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/lstm/fold_0010.pt
gru,10,1.043895922601223,9,7.263567167014116,0.0592915409943088,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/gru/fold_0010.pt
cnn1d,10,1.0430784275134404,13,2.636838500009617,0.0091267069510649,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/cnn1d/fold_0010.pt
dnfs,10,1.0492272600531578,11,1.707574291998753,0.010468583961483,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/dnfs/fold_0010.pt
lstm_gru,10,1.0441068013509114,9,8.701310292002745,0.0646667529945261,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/lstm_gru/fold_0010.pt
cnn_lstm,10,1.037168875336647,31,13.986934417014709,0.0168294569884892,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/cnn_lstm/fold_0010.pt
naive_persistence,11,,0,0.0,0.0,
linear_regression,11,,0,0.0100677500013262,0.0016104169480968,
mlp,11,1.0501388137539227,11,1.3540235830005258,0.0324700409837532,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/mlp/fold_0011.pt
rnn,11,1.0450269803404808,14,7.795511999982409,0.0603128330840263,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/rnn/fold_0011.pt
lstm,11,1.0457434157530467,22,6.4145677920023445,0.0189308319531846,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/lstm/fold_0011.pt
gru,11,1.0473973999420805,14,11.458628583000973,0.077014915033942,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/gru/fold_0011.pt
cnn1d,11,1.042873782416185,50,7.557392000016989,0.0190390820498578,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/cnn1d/fold_0011.pt
dnfs,11,1.0497356603542964,9,1.2893549170112235,0.0253690800745971,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/dnfs/fold_0011.pt
lstm_gru,11,1.0471894592046738,14,15.87068870899384,0.0728903759154491,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/lstm_gru/fold_0011.pt
cnn_lstm,11,1.046379546324412,16,6.60962820801069,0.0236162100336514,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/cnn_lstm/fold_0011.pt
naive_persistence,12,,0,0.0,0.0,
linear_regression,12,,0,0.0183762919914443,0.0014591279323212,
mlp,12,1.044071443378925,15,2.149206458008848,0.0265866259578615,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/mlp/fold_0012.pt
rnn,12,1.0393164257208507,12,6.43876133300364,0.0982910830061882,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/rnn/fold_0012.pt
lstm,12,1.0429708361625671,12,3.91845654201461,0.0242493769619613,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/lstm/fold_0012.pt
gru,12,1.0429647689064343,12,10.754286167008104,0.0829577080148737,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/gru/fold_0012.pt
cnn1d,12,1.0399383430679638,47,8.34947662500781,0.0155870849848724,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/cnn1d/fold_0012.pt
dnfs,12,1.0448048959175746,16,2.802056749991607,0.01512149797054,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/dnfs/fold_0012.pt
lstm_gru,12,1.0433891465266545,12,12.369435208005598,0.1204468329960946,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/lstm_gru/fold_0012.pt
cnn_lstm,12,1.040113391975562,25,10.633599124994362,0.0355562909389846,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/cnn_lstm/fold_0012.pt
naive_persistence,13,,0,0.0,0.0,
linear_regression,13,,0,0.0106814999890048,0.0015178309113252,
mlp,13,1.0632018893957138,13,1.980937290994916,0.0176883340172935,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/mlp/fold_0013.pt
rnn,13,1.0587010656793912,15,8.6821760419989,0.0572183339099865,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/rnn/fold_0013.pt
lstm,13,1.062745747466882,10,3.3361137910105754,0.0235893320059403,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/lstm/fold_0013.pt
gru,13,1.0612012619773548,25,22.05059387499932,0.0745766659965738,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/gru/fold_0013.pt
cnn1d,13,1.059779812892278,14,2.023854667000706,0.0202476701524574,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/cnn1d/fold_0013.pt
dnfs,13,1.0601745893557866,24,3.3820672080037184,0.0248475419357419,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/dnfs/fold_0013.pt
lstm_gru,13,1.0618724649151166,9,9.0341983330145,0.0795467520074453,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/lstm_gru/fold_0013.pt
cnn_lstm,13,1.0611416200796764,9,3.7993031670048367,0.0325537489552516,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/cnn_lstm/fold_0013.pt
naive_persistence,14,,0,0.0,0.0,
linear_regression,14,,0,0.0123185830016154,0.0034392050292808,
mlp,14,1.1036108285188675,25,4.166374374995939,0.0147497489524539,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/mlp/fold_0014.pt
rnn,14,1.0974614719549816,12,7.361405625008047,0.0669794150744564,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/rnn/fold_0014.pt
