model,horizon_step,forecast_count,price_rmse,rmse,price_rmse_improvement_vs_persistence_pct,rmse_improvement_vs_persistence_pct
cnn_lstm,3,37,51.48825969994614,0.0200163721417055,-0.8666972116060183,-0.8906374012849627
rnn,3,37,51.57113256435777,0.0199767566225149,-1.029047078748154,-0.6909591102426619
lstm_gru,3,37,51.708728971038376,0.0200918728114962,-1.298601636834575,-1.2711914120458134
lstm,3,37,52.02251667025921,0.0202352333612436,-1.9133190312557982,-1.9937867524910238
gru,3,37,52.96157497566645,0.0205133642962725,-3.7529560729337748,-3.395679518943662
linear_regression,3,37,54.94608654699396,0.0210656619756883,-7.640660356289651,-6.179483922510421
mlp,4,37,55.63397954068632,0.0218077298195622,0.1266556781359605,-0.4377567538274594
naive_persistence,4,37,55.70453249406915,0.0217126810916465,0.0,0.0
cnn1d,4,37,56.4829440190446,0.021943447501172,-1.3973935156144266,-1.0628185830734793
cnn_lstm,4,37,56.89567537807613,0.0221500575126773,-2.138323096300646,-2.0143823749111833
dnfs,4,37,57.12971118214962,0.0221333510464117,-2.558460908422865,-1.9374390154288381
lstm_gru,4,37,57.5083778619682,0.0223379371297154,-3.238238051977379,-2.879681396460311
rnn,4,37,57.55687107866837,0.0223169222733901,-3.3252923984173854,-2.782895300645623
lstm,4,37,57.87645354635737,0.0225248722265683,-3.8990023882158305,-3.74063033253997
gru,4,37,58.60639686208543,0.0227989486040826,-5.209386450420789,-5.002917455707566
linear_regression,4,37,59.76860651481794,0.0226878645568874,-7.295769013376949,-4.491308379305034
cnn1d,5,37,68.81713152442131,0.0271016959848667,0.026451796060675804,0.12283949188232327
naive_persistence,5,37,68.83533970809857,0.0271350285160179,0.0,0.0
mlp,5,37,69.1644896448069,0.0273790318930039,-0.4781699895781996,-0.8992191655223984
dnfs,5,37,69.75382185842055,0.0275261800665541,-1.3343177417542653,-1.441500421882001
lstm_gru,5,37,70.20983319663453,0.0275208400625358,-1.996784637607084,-1.4218210468809873
rnn,5,37,70.49420470401432,0.0275339644127469,-2.4099031151008927,-1.47018786618745
gru,5,37,70.88772684760393,0.0277804089089497,-2.981589323461841,-2.37840322353385
lstm,5,37,70.9984135433266,0.0278438815081922,-3.142388552741528,-2.6123171079619913
cnn_lstm,5,37,71.27706913108861,0.0281520380541447,-3.547203272831039,-3.74795824344336
linear_regression,5,37,76.28430693020869,0.0291803749974875,-10.821428722075055,-7.5376610725219075
mlp,6,37,79.47545186939035,0.0314571541375468,2.689393696344374,1.5432639605906913
naive_persistence,6,37,81.67193165089213,0.031950230530652,0.0,0.0
cnn1d,6,37,81.77811041383157,0.0318740495839525,-0.1300064303527173,0.23843629743582967
lstm_gru,6,37,82.36874618977917,0.0321513795014161,-0.8531872882174303,-0.629569700823046
lstm,6,37,82.59522018399494,0.032286371095536,-1.1304845060472135,-1.0520755540762599
rnn,6,37,82.84541544857859,0.0322313257188188,-1.436826304907948,-0.8797907980574042
cnn_lstm,6,37,83.48731536679601,0.0327392073709711,-2.2227755352521372,-2.4693932632573166
gru,6,37,83.5749163019097,0.0324536173427584,-2.3300350714758373,-1.5755342097562386
dnfs,6,37,83.73130776649518,0.03250460401818,-2.5215224789905513,-1.7351157669931467
linear_regression,6,37,86.46638717597817,0.03313851960751,-5.870383408561961,-3.719187802785948
mlp,7,37,79.1408390087815,0.0309573271742065,1.150987841118827,0.3208415684681687
cnn1d,7,37,79.81523648454284,0.0309349234524404,0.30864746266953696,0.3929790666059154
naive_persistence,7,37,80.06234688676251,0.0310569708465894,0.0,0.0
lstm_gru,7,37,80.66501160938338,0.0311177658970161,-0.7527442625098925,-0.1957533164680041
gru,7,37,81.02587548513169,0.0311651641840324,-1.20347283815195,-0.3483705412785988
lstm,7,37,81.30855046277019,0.0314660207815244,-1.5565414011286247,-1.3170954017233782
rnn,7,37,81.35952012356981,0.0312569752872481,-1.620203862674641,-0.6439921061414934
dnfs,7,37,81.68503586532658,0.0317703151324931,-2.0267816791070934,-2.2968894469050865
cnn_lstm,7,37,81.73237548823249,0.0318115252774435,-2.085910126806565,-2.4295815409085955
linear_regression,7,37,85.16592418138923,0.0320225144953513,-6.374503737499783,-3.1089434109055465
mlp,8,37,77.02383452142196,0.030779419446955,4.3230943718982795,2.5336866124177058
