fold,forecast_origin,forecast_end,train_samples,validation_samples,train_target_start,train_target_end,validation_target_start,validation_target_end,target_date,horizon_step
25,2024-07-26T00:00:00,2024-08-23T00:00:00,4597,985,2002-04-12T00:00:00,2020-08-14T00:00:00,2020-08-17T00:00:00,2024-07-26T00:00:00,2024-08-05T00:00:00,6
25,2024-07-26T00:00:00,2024-08-23T00:00:00,4597,985,2002-04-12T00:00:00,2020-08-14T00:00:00,2020-08-17T00:00:00,2024-07-26T00:00:00,2024-08-06T00:00:00,7
25,2024-07-26T00:00:00,2024-08-23T00:00:00,4597,985,2002-04-12T00:00:00,2020-08-14T00:00:00,2020-08-17T00:00:00,2024-07-26T00:00:00,2024-08-07T00:00:00,8
25,2024-07-26T00:00:00,2024-08-23T00:00:00,4597,985,2002-04-12T00:00:00,2020-08-14T00:00:00,2020-08-17T00:00:00,2024-07-26T00:00:00,2024-08-08T00:00:00,9
25,2024-07-26T00:00:00,2024-08-23T00:00:00,4597,985,2002-04-12T00:00:00,2020-08-14T00:00:00,2020-08-17T00:00:00,2024-07-26T00:00:00,2024-08-09T00:00:00,10
25,2024-07-26T00:00:00,2024-08-23T00:00:00,4597,985,2002-04-12T00:00:00,2020-08-14T00:00:00,2020-08-17T00:00:00,2024-07-26T00:00:00,2024-08-12T00:00:00,11
25,2024-07-26T00:00:00,2024-08-23T00:00:00,4597,985,2002-04-12T00:00:00,2020-08-14T00:00:00,2020-08-17T00:00:00,2024-07-26T00:00:00,2024-08-13T00:00:00,12
25,2024-07-26T00:00:00,2024-08-23T00:00:00,4597,985,2002-04-12T00:00:00,2020-08-14T00:00:00,2020-08-17T00:00:00,2024-07-26T00:00:00,2024-08-14T00:00:00,13
25,2024-07-26T00:00:00,2024-08-23T00:00:00,4597,985,2002-04-12T00:00:00,2020-08-14T00:00:00,2020-08-17T00:00:00,2024-07-26T00:00:00,2024-08-15T00:00:00,14
25,2024-07-26T00:00:00,2024-08-23T00:00:00,4597,985,2002-04-12T00:00:00,2020-08-14T00:00:00,2020-08-17T00:00:00,2024-07-26T00:00:00,2024-08-16T00:00:00,15
25,2024-07-26T00:00:00,2024-08-23T00:00:00,4597,985,2002-04-12T00:00:00,2020-08-14T00:00:00,2020-08-17T00:00:00,2024-07-26T00:00:00,2024-08-19T00:00:00,16
25,2024-07-26T00:00:00,2024-08-23T00:00:00,4597,985,2002-04-12T00:00:00,2020-08-14T00:00:00,2020-08-17T00:00:00,2024-07-26T00:00:00,2024-08-20T00:00:00,17
25,2024-07-26T00:00:00,2024-08-23T00:00:00,4597,985,2002-04-12T00:00:00,2020-08-14T00:00:00,2020-08-17T00:00:00,2024-07-26T00:00:00,2024-08-21T00:00:00,18
25,2024-07-26T00:00:00,2024-08-23T00:00:00,4597,985,2002-04-12T00:00:00,2020-08-14T00:00:00,2020-08-17T00:00:00,2024-07-26T00:00:00,2024-08-22T00:00:00,19
25,2024-07-26T00:00:00,2024-08-23T00:00:00,4597,985,2002-04-12T00:00:00,2020-08-14T00:00:00,2020-08-17T00:00:00,2024-07-26T00:00:00,2024-08-23T00:00:00,20
26,2024-08-23T00:00:00,2024-09-23T00:00:00,4597,985,2002-05-13T00:00:00,2020-09-11T00:00:00,2020-09-14T00:00:00,2024-08-23T00:00:00,2024-08-26T00:00:00,1
26,2024-08-23T00:00:00,2024-09-23T00:00:00,4597,985,2002-05-13T00:00:00,2020-09-11T00:00:00,2020-09-14T00:00:00,2024-08-23T00:00:00,2024-08-27T00:00:00,2
26,2024-08-23T00:00:00,2024-09-23T00:00:00,4597,985,2002-05-13T00:00:00,2020-09-11T00:00:00,2020-09-14T00:00:00,2024-08-23T00:00:00,2024-08-28T00:00:00,3
26,2024-08-23T00:00:00,2024-09-23T00:00:00,4597,985,2002-05-13T00:00:00,2020-09-11T00:00:00,2020-09-14T00:00:00,2024-08-23T00:00:00,2024-08-29T00:00:00,4
26,2024-08-23T00:00:00,2024-09-23T00:00:00,4597,985,2002-05-13T00:00:00,2020-09-11T00:00:00,2020-09-14T00:00:00,2024-08-23T00:00:00,2024-09-02T00:00:00,5
26,2024-08-23T00:00:00,2024-09-23T00:00:00,4597,985,2002-05-13T00:00:00,2020-09-11T00:00:00,2020-09-14T00:00:00,2024-08-23T00:00:00,2024-09-03T00:00:00,6
26,2024-08-23T00:00:00,2024-09-23T00:00:00,4597,985,2002-05-13T00:00:00,2020-09-11T00:00:00,2020-09-14T00:00:00,2024-08-23T00:00:00,2024-09-04T00:00:00,7
26,2024-08-23T00:00:00,2024-09-23T00:00:00,4597,985,2002-05-13T00:00:00,2020-09-11T00:00:00,2020-09-14T00:00:00,2024-08-23T00:00:00,2024-09-05T00:00:00,8
26,2024-08-23T00:00:00,2024-09-23T00:00:00,4597,985,2002-05-13T00:00:00,2020-09-11T00:00:00,2020-09-14T00:00:00,2024-08-23T00:00:00,2024-09-06T00:00:00,9
26,2024-08-23T00:00:00,2024-09-23T00:00:00,4597,985,2002-05-13T00:00:00,2020-09-11T00:00:00,2020-09-14T00:00:00,2024-08-23T00:00:00,2024-09-09T00:00:00,10
26,2024-08-23T00:00:00,2024-09-23T00:00:00,4597,985,2002-05-13T00:00:00,2020-09-11T00:00:00,2020-09-14T00:00:00,2024-08-23T00:00:00,2024-09-10T00:00:00,11
26,2024-08-23T00:00:00,2024-09-23T00:00:00,4597,985,2002-05-13T00:00:00,2020-09-11T00:00:00,2020-09-14T00:00:00,2024-08-23T00:00:00,2024-09-11T00:00:00,12
26,2024-08-23T00:00:00,2024-09-23T00:00:00,4597,985,2002-05-13T00:00:00,2020-09-11T00:00:00,2020-09-14T00:00:00,2024-08-23T00:00:00,2024-09-12T00:00:00,13
26,2024-08-23T00:00:00,2024-09-23T00:00:00,4597,985,2002-05-13T00:00:00,2020-09-11T00:00:00,2020-09-14T00:00:00,2024-08-23T00:00:00,2024-09-13T00:00:00,14
26,2024-08-23T00:00:00,2024-09-23T00:00:00,4597,985,2002-05-13T00:00:00,2020-09-11T00:00:00,2020-09-14T00:00:00,2024-08-23T00:00:00,2024-09-16T00:00:00,15
26,2024-08-23T00:00:00,2024-09-23T00:00:00,4597,985,2002-05-13T00:00:00,2020-09-11T00:00:00,2020-09-14T00:00:00,2024-08-23T00:00:00,2024-09-17T00:00:00,16
26,2024-08-23T00:00:00,2024-09-23T00:00:00,4597,985,2002-05-13T00:00:00,2020-09-11T00:00:00,2020-09-14T00:00:00,2024-08-23T00:00:00,2024-09-18T00:00:00,17
26,2024-08-23T00:00:00,2024-09-23T00:00:00,4597,985,2002-05-13T00:00:00,2020-09-11T00:00:00,2020-09-14T00:00:00,2024-08-23T00:00:00,2024-09-19T00:00:00,18
26,2024-08-23T00:00:00,2024-09-23T00:00:00,4597,985,2002-05-13T00:00:00,2020-09-11T00:00:00,2020-09-14T00:00:00,2024-08-23T00:00:00,2024-09-20T00:00:00,19
26,2024-08-23T00:00:00,2024-09-23T00:00:00,4597,985,2002-05-13T00:00:00,2020-09-11T00:00:00,2020-09-14T00:00:00,2024-08-23T00:00:00,2024-09-23T00:00:00,20
