market,feature_set,model,fold,pairs,seeds,price_rmse_delta_mean,price_rmse_delta_std,price_rmse_delta_pct_mean,price_rmse_delta_pct_std,price_rmse_candidate_wins,price_mae_delta_mean,price_mae_delta_std,price_mae_delta_pct_mean,price_mae_delta_pct_std,price_mae_candidate_wins,rmse_delta_mean,rmse_delta_std,rmse_delta_pct_mean,rmse_delta_pct_std,rmse_candidate_wins,mae_delta_mean,mae_delta_std,mae_delta_pct_mean,mae_delta_pct_std,mae_candidate_wins
bist100,close,dnfs,12,5,5,-84.98033721971684,123.52849826455505,-12.73163733961957,21.10667896310392,4,-72.50340109786421,105.82473123859776,-13.064901202160376,21.993904719566974,4,-0.012972321032623076,0.018733470127736053,-13.29031142561334,22.021894643186485,4,-0.011095955814161618,0.01610169226350423,-13.54918627226941,22.805127566118497,4
bist100,close,dnfs,1,5,5,-23.061891238800875,66.44318075397678,-8.094159330423173,26.485505053654894,3,-19.517437052800144,66.43537841090892,-7.048029532942563,32.415111759417094,3,-0.00730115143259946,0.021315596906387464,-8.259610493926946,27.817953011341373,3,-0.006192462439772138,0.02120572714336543,-7.105283213514156,33.648050050758556,3
bist100,close,dnfs,33,5,5,-107.49087974196615,307.9064789093896,-6.505087175162203,20.05986722582006,3,-95.36609686368283,271.6771567312458,-6.359660692778492,19.414935759034062,3,-0.009931220648610128,0.02828016174135389,-6.22302495920902,18.918195429391147,3,-0.008822437582655338,0.024993716857374112,-6.091627308085522,18.356042001557658,3
bist100,close,dnfs,25,5,5,-90.2287320927447,150.56034789085203,-6.035067414892206,11.498405728659627,4,-80.11590640246011,134.65379328669874,-5.889565100391236,11.278089965655191,4,-0.007841323742628697,0.013218058639734926,-5.638604022891874,10.757706141501265,4,-0.007000219389343437,0.011874118394195212,-5.530149122381538,10.601746475183688,4
bist100,close,dnfs,27,5,5,-72.74644532818363,197.82749789808005,-5.195584829480546,17.195736889842046,3,-64.06019137145377,174.4489836444027,-5.186500695251664,17.17848892271433,3,-0.007096057003106152,0.019350246421765957,-4.930466546392841,16.114992789847047,3,-0.006270176248400342,0.017117284115732587,-4.941251057894459,16.17633253813077,3
bist100,close,dnfs,32,5,5,-21.59291879673598,54.57292174673066,-4.714781612193936,12.440582279319253,3,-9.54980232534938,25.52581514250865,-2.7224217410085645,7.841303213898643,3,-0.0020607537757073207,0.005351513768518213,-4.5104776588145645,12.433907114839188,3,-0.0009508800422625606,0.0025050887979557153,-2.7281811440379076,7.657547707529764,4
bist100,close,dnfs,10,5,5,-19.350801486585965,42.11991719980527,-3.984051889592017,8.822849083965018,3,-12.697898023222729,25.538679644356254,-3.2777200524677736,6.4979973268174085,3,-0.0038759091731198625,0.008328149289946553,-3.993889802291625,8.625044691174677,3,-0.0026700537334956947,0.005371790887912683,-3.37459699904585,6.682394702093406,3
bist100,close,dnfs,18,5,5,-36.92983859060605,106.42722956007712,-3.8816046225210057,32.5289247487855,3,-32.49001549979734,96.68639724967463,-3.298635715968601,33.99681074894645,3,-0.004847744021264421,0.013773502486764044,-4.0012161626029386,33.14309162322862,3,-0.004274085480303041,0.0125562984889758,-3.3862671934500823,34.56427187170997,3
bist100,close,dnfs,5,5,5,-13.795993233965794,45.4212626464079,-3.3354407250576683,12.328498856313072,3,-10.567532680647172,42.26600558681894,-2.5888497499740675,12.706933540006345,2,-0.002640339388666919,0.008644206887932583,-3.354696256151803,12.32304256237522,3,-0.0020731340674754795,0.008315239604828228,-2.6308600081938454,13.087434275215653,2
bist100,close,dnfs,3,5,5,-9.983359985502569,52.944202160911125,-1.7772261212597893,14.885432075719175,3,-8.504483906926897,45.41845767159418,-1.8350537041443236,16.883543090893262,3,-0.002545951471916541,0.01340859955168178,-1.842989799967166,15.921962038469873,3,-0.002165222807570778,0.01149552092256334,-1.8772152453359674,17.841444884864163,3
bist100,close,dnfs,46,5,5,-50.51998928562857,262.57054381054144,-1.6953512789470326,21.63805837922855,2,-45.10182928857232,236.0278849729565,-1.6506149645819654,21.964159672030178,2,-0.003989284806538001,0.020370837512000205,-1.719612124519556,22.7005333070168,2,-0.0035640026237721027,0.0183538701024894,-1.665316894760127,22.988492636336883,2
bist100,close,dnfs,38,5,5,-17.89858031792803,87.2912380219955,-1.3600193925627422,21.78133515266108,4,-11.896290256199995,36.048770393728915,-2.8647691898363448,11.146827149854827,4,-0.0015214634427943214,0.007707811451621994,-1.2397249413990792,21.286424950116686,4,-0.001028937910719619,0.003128404383500798,-2.7746192873692737,10.727920543847345,4
bist100,close,dnfs,45,5,5,-9.491617427672054,149.67006286686475,-0.588824359518983,15.267703450942582,2,-9.670078315620525,140.50239522542793,-0.6663683332664386,14.929839753933292,2,-0.0007142524537588013,0.010697561764596254,-0.6306596479442863,14.655758088944497,2,-0.0007228520778587974,0.010071234704001933,-0.6988300381284696,14.38864271357654,2
bist100,close,dnfs,31,5,5,-43.084565916520646,153.0671809151883,-0.5356788909687978,71.76379368698517,4,-28.07827136293661,101.0644229775054,-3.4945789921691075,53.06707875582024,4,-0.004219693410483781,0.01498291627002191,-0.8494651517953663,70.08010926204548,4,-0.0027429803913194798,0.009864036210969053,-3.6452985259763495,51.72379355188826,4
bist100,close,dnfs,29,5,5,-38.52238201407899,227.12387933326383,-0.3137306526620506,48.63558175068639,3,-36.115614062034055,210.07389514035958,-0.012969131776075926,48.88189661742734,3,-0.003984910376490261,0.02399911841473598,-0.048858604252666284,49.80214913671467,3,-0.0037584526470057405,0.022248233013754882,0.2227692599154892,49.922241334352215,3
bist100,close,dnfs,36,5,5,-11.098398744391806,110.55667169837847,-0.14241396832401101,25.599283706187215,2,-7.212718148640886,73.09027242821192,-0.5088462637616145,19.58160504609674,2,-0.00111632458681106,0.011255613989758566,-0.11371023685650519,25.668137427318474,2,-0.0007338112566421376,0.007507740596082367,-0.48839197309716953,19.678247124838176,2
bist100,close,dnfs,0,5,5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
bist100,close,dnfs,6,5,5,-0.010773784552168309,14.670806904991599,0.12838169469620483,3.428381317962723,2,0.5807006544849059,13.641278819417154,0.29378379553312794,3.6310072437629755,2,-4.5758228725117925e-05,0.0029788181174382616,0.08492056043699849,3.485833938520541,2,0.00011595756749016028,0.0028734751189334264,0.30779043821798047,3.8153806210040973,2
bist100,close,dnfs,35,5,5,-10.142661118137095,158.91132318581958,1.5665387674481401,27.699452844044927,2,-7.989902595387531,158.64612835371486,3.7767878334682683,32.25232941759221,2,-0.0011227100216505762,0.015824969207236816,1.0439418167395451,26.31698265796917,2,-0.0008932802930426171,0.015910425213520013,3.1053232582602193,30.753582132236016,2
bist100,close,dnfs,7,5,5,12.81301251741711,71.93292745165758,2.449151004074195,10.63031915182836,2,12.177789252629031,67.69192316691935,2.346728416615729,10.20221800768517,2,0.0027740060037522163,0.015726768981443814,2.6418534482410796,11.371008544956352,2,0.0026501396610329963,0.01486108844760088,2.53717250253224,10.933346576550976,2
bist100,close,dnfs,23,5,5,-17.811968255547832,274.4385928600585,2.982953682881644,49.51941009869414,3,-21.410263701864732,272.1947322133125,3.0797926450093565,54.70278740871718,3,-0.0017094939979493602,0.024570609047804438,2.3375665017102447,47.10625037727189,3,-0.0020377822934628414,0.024586694316177816,2.4800401528154965,52.66082029337831,3
bist100,close,dnfs,49,5,5,-0.17518180289924318,51.05610888230161,3.1841627651332787,19.338421860511303,2,-2.518023253324219,54.04171791605342,3.0515444198961084,22.07432519371766,2,-1.9922420003840036e-05,0.003608771481103963,3.1987479233034795,19.499766791360656,2,-0.00018363920825887996,0.003821749650274305,3.085815907858819,22.279111488784217,2
bist100,close,dnfs,37,5,5,-5.056394068848459,150.06164093488152,3.5069641772256483,41.36515386595121,3,-6.244483708111858,135.27978679373635,1.473782682107877,42.835237567652364,3,-0.0005067910807215602,0.014492942240394194,3.75802466771841,42.04927985591838,3,-0.000608916028716839,0.013085244560709952,1.717775385468847,43.467015334785565,3
bist100,close,dnfs,44,5,5,-14.923113140423187,152.9967731588577,4.44776761843661,40.742171102662695,3,-10.642007345262005,131.13712160340071,5.835065699002309,42.0451066652567,3,-0.0009959093199645795,0.010550970647423533,4.322946265789782,39.805007359481465,3,-0.0007209208240800998,0.00909447075788324,5.626531427653363,41.130934944949246,3
