market,feature_set,model,pairs,seeds,price_rmse_delta_mean,price_rmse_delta_std,price_rmse_delta_pct_mean,price_rmse_delta_pct_std,price_rmse_candidate_wins,price_mae_delta_mean,price_mae_delta_std,price_mae_delta_pct_mean,price_mae_delta_pct_std,price_mae_candidate_wins,rmse_delta_mean,rmse_delta_std,rmse_delta_pct_mean,rmse_delta_pct_std,rmse_candidate_wins,mae_delta_mean,mae_delta_std,mae_delta_pct_mean,mae_delta_pct_std,mae_candidate_wins
bist100,indicators,cnn1d,5,5,167.93008002622145,90.40326053073494,15.574671279267823,7.736810575759584,0,112.32158161711179,34.81396843581289,15.816921328367386,4.765410800545095,0,0.015922374715866775,0.0024860109247403965,14.192387432063708,3.4038475464797266,0,0.01194137201496914,0.0035652910142681704,14.555029525569216,4.3559240178435354,0
sp500,close,linear_regression,5,5,-0.9752971453816599,0.0,-0.5953781138344031,0.0,5,0.014865875940387241,0.0,0.012205075305004027,0.0,0,-0.00023080096334689854,0.0,-0.7079964279874924,0.0,5,-4.2637423914602957e-05,0.0,-0.1783751667709169,0.0,5
sp500,close,cnn1d,5,5,-0.9824976169099784,2.6140747397410253,-0.572931286221786,1.5445847203935572,3,-1.0324463545776807,2.2814518559620622,-0.8217188674056188,1.8388038951884682,4,-0.0002759305434347992,0.0005558017690846075,-0.8130391999100597,1.6636623611393921,4,-0.00023027039715097994,0.0004661325775789496,-0.9363365967424417,1.9247838977979492,4
sp500,close,naive_persistence,5,5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
sp500,close,mlp,5,5,0.37607331274382433,0.7035431273165976,0.2264412343775808,0.4196542995570825,1,0.46852563544348697,1.0785022171242125,0.38642831815196504,0.8816377382479618,2,0.00011441592415635942,0.00012253832540365202,0.34479224752961357,0.36883664019459256,1,0.00011455187067748105,0.00015866456745716967,0.47961539354045774,0.6654721291097273,1
sp500,close,lstm_gru,5,5,0.4311600894007938,0.532271409098726,0.2602952841556871,0.3219753990010686,1,0.2988976654341286,0.6187514291750583,0.25001752096521423,0.5102721021949356,1,3.6175121872758506e-05,0.0001837797456873276,0.10944300974455048,0.5579677055102182,2,3.078289018120031e-05,7.63045056624739e-05,0.13156170332344044,0.32200058714413443,1
sp500,close,dnfs,5,5,2.8965001220616218,4.021866560591438,1.7617479952661632,2.4258958521381526,1,2.0000388746946185,3.2957939567389793,1.6630784374306047,2.699943915279345,1,0.0004776026736811018,0.0006635249077469868,1.4652012484006176,2.0322682388606297,1,0.0003961831895267609,0.0005543104951278865,1.676127261215986,2.3281723401498855,1
sp500,indicators,lstm_gru,5,5,-0.6595516313623306,4.285987910332028,-0.37431611035295315,2.6189864839672325,3,-0.6641239352227444,2.7414079216943916,-0.5320241115060236,2.3106522496579034,4,-1.5394145897081046e-05,0.0009746824008250051,-0.018664065460066936,3.0088096982474255,3,-7.170809446362045e-05,0.000572274197233892,-0.2856180283777339,2.4615092399156473,3
sp500,indicators,naive_persistence,5,5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
sp500,indicators,linear_regression,5,5,3.5595477501711628,0.0,2.0922980461705407,0.0,0,0.5927514897425112,0.0,0.4620683556307463,0.0,0,0.000754498140114801,0.0,2.254160488289066,0.0,0,0.00012432611560230303,0.0,0.49729807307995416,0.0,0
sp500,indicators,cnn1d,5,5,3.525557895283913,2.880857819728402,2.3076834479615123,1.928622548427582,0,3.1278403558994627,1.4815010312975287,2.762940965627498,1.3515098184410872,0,0.0006029231902608005,0.0007145722364073778,2.00270482493804,2.4150591379390436,1,0.0005857058403053811,0.0003778493803369724,2.6523844971537613,1.766463428824812,0
sp500,indicators,mlp,5,5,4.430603664663164,9.37120032914588,2.7569347948587977,5.66033237698676,1,2.71597418928213,2.894485155212846,2.25210505815702,2.362433785851336,0,0.0009217435041898008,0.0019182192158845523,2.9387088774120462,5.932475994684402,2,0.0005365933564322412,0.0005620351228154976,2.287146552644563,2.3708980204459316,1
sp500,indicators,dnfs,5,5,4.9755409029476425,7.380373486541014,3.111268132001522,4.691033564503832,1,1.7913941286728032,3.503926101796014,1.5390146585252473,2.938939208519139,1,0.0012074336153631404,0.0012375569610532633,3.8020728312177376,3.96784177923935,0,0.00044601995888020053,0.0005926628238571278,1.9450708749267513,2.5934150188926948,1
wig20,close,dnfs,5,5,-0.16867555534878703,1.748265755316744,-0.15725578155734346,1.6711105598362497,3,0.03280471253353312,2.3973695889354216,0.05147548118918292,3.1505584484847224,3,5.3994249881521296e-05,0.0011623216323668661,0.21030026832177562,2.8303639902730358,2,7.665638033671901e-05,0.0008837998682098383,0.2953604461287686,2.998310001886426,3
wig20,close,naive_persistence,5,5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
wig20,close,cnn1d,5,5,3.3628215513032784,3.025626318250358,3.389530074385951,3.031409405581356,0,2.6664455976875785,1.750251104319656,3.607606503766162,2.3757500263691984,0,0.0010017258281943997,0.0010460984519833577,2.61940218079979,2.7204412884408633,0,0.00087745785397308,0.0006491670462529957,3.0835013098500816,2.278503132914411,0
wig20,close,mlp,5,5,4.292866336248866,2.7668241672112126,4.398207216017015,2.9010476695427267,0,3.277136160313938,2.1984103561777797,4.495301523317295,3.052875361963095,1,0.0010606194455574799,0.0006826071854729429,2.804966270569886,1.8395332819233385,0,0.0010064182848104793,0.0006886297144623167,3.5793172913556135,2.4689963229907126,1
wig20,close,lstm_gru,5,5,4.45598386179328,1.3858500029832677,4.50550467817183,1.3912155217652857,0,3.1370600440177867,1.1563234567813667,4.227860761195734,1.5538997446431488,0,0.0011755721152788598,0.00038163917236074576,3.09085566406075,1.0109374304291043,0,0.00097745170624534,0.0003582207765045627,3.4252283487235773,1.2571795972197242,0
wig20,close,linear_regression,5,5,12.758149310447678,0.0,12.38075157017609,0.0,0,8.48341760377781,0.0,11.013799395165705,0.0,0,0.0034807660037749003,0.0,8.920861201922191,0.0,0,0.0027271535140876955,0.0,9.309982845680674,0.0,0
wig20,indicators,naive_persistence,5,5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
wig20,indicators,mlp,5,5,0.5093841018467486,4.698463879616672,0.4936061563404978,4.566429861285495,2,0.8203352139712508,3.86919024410119,1.12098737350314,5.082436124278954,2,0.00018459783418829645,0.001629241301615513,0.4715454770221987,4.103490123389632,1,0.00020829949626072,0.0013894914271638226,0.754359064326791,4.744996310883798,2
wig20,indicators,dnfs,5,5,1.6345223906015065,2.171875570364906,1.5916231647409058,2.111796642808834,2,1.0684422949573673,3.5286814206480597,1.4808009610930508,4.52976277613487,2,5.152893265479852e-05,0.0011325645591017783,0.16514118656798543,2.816596043172362,3,0.0002298566608606993,0.0014055069216512182,0.8760807443551041,4.662875239574504,2
wig20,indicators,lstm_gru,5,5,2.0483842128566634,0.38336685875779125,2.0695980701179764,0.38650638204656157,0,1.5404354297255651,0.3756313766536506,2.086112899802304,0.5150964573484292,0,0.0005237924607174399,0.0002333151638029112,1.3724033952530579,0.6144095945499664,0,0.00049660906224838,0.00011897791371229908,1.7446927085435457,0.41889574835412197,0
wig20,indicators,cnn1d,5,5,3.303780668681122,3.204772579082668,3.344259799634762,3.271633962492388,0,2.9643179676740288,2.499063434601461,4.018081980285994,3.4143246330257346,0,0.0006616172015522975,0.0008941143051677298,1.7344571791210277,2.343979756711113,2,0.0008510085860451606,0.0008022934124413387,2.9884065638247717,2.8345038571502474,1
wig20,indicators,linear_regression,5,5,16.917316487315077,0.0,16.53679033954263,0.0,0,11.154158335564418,0.0,14.516381870667477,0.0,0,0.004630454208870198,0.0,12.020965815903445,0.0,0,0.003609043737764696,0.0,12.376501885560597,0.0,0
